question_text,category,subcategory,option_1,option_2,option_3,option_4,correct_option,option_1_score,option_2_score,option_3_score,option_4_score
"""How do you handle stress?""",psychometric,o_score,"""Very well""","""Moderately""","""Poorly""","""Not at all""","""Very well""",5,3,1,0
I enjoy trying new and unconventional activities.,psychometric,o_score,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,1,2,4,5
I am open to experiencing different cultures and perspectives.,psychometric,o_score,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,1,2,4,5
I often think about abstract concepts and ideas.,psychometric,o_score,Rarely,Occasionally,Often,Very frequently,Very frequently,1,2,3,5
I prefer variety and change in my daily routine.,psychometric,o_score,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,1,2,4,5
I am interested in exploring new hobbies or learning new skills.,psychometric,o_score,Not interested,Slightly interested,Moderately interested,Highly interested,Highly interested,1,2,4,5
I enjoy reflecting on the deeper meaning of life.,psychometric,o_score,Not at all,Occasionally,Often,Very often,Very often,1,3,4,5
I am drawn to creative and artistic activities.,psychometric,o_score,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,1,3,4,5
I like to challenge conventional thinking and explore new ideas.,psychometric,o_score,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,1,3,4,5
I am comfortable adapting to new and unfamiliar situations.,psychometric,o_score,Very uncomfortable,Slightly uncomfortable,Comfortable,Very comfortable,Very comfortable,1,3,4,5
How do you prioritize your tasks?,psychometric,c_score,"Delegate tasks to team members based on their strengths, focusing on the most critical project yourself.","Tackle all projects simultaneously, dedicating equal time to each.",Focus entirely on the most critical project and leave the others for later.,Attempt to manage everything yourself without involving the team.,"Delegate tasks to team members based on their strengths, focusing on the most critical project yourself.",4,2,3,2
"Midway through the mission, your team receives unexpected feedback that changes the project requirements. The deadline remains unchanged.How do you respond to this sudden change?",psychometric,c_score,"Quickly reassess the situation and adjust the plan, keeping the team informed.","Continue with the original plan, hoping to meet the new requirements later.",Seek guidance from your superiors before making any decisions.,Involve the team in brainstorming a new strategy to meet the requirements.,Involve the team in brainstorming a new strategy to meet the requirements.,4,2,2,4
Two team members have a disagreement on how to approach a critical task. The tension is affecting their productivity and the project’s progress. How do you handle the conflict?,psychometric,c_score,Mediate a discussion between them to reach a compromise.,Assign them separate tasks to avoid further conflict,Decide on the approach yourself and instruct them to follow it.,Allow them to resolve it on their own without intervening,Mediate a discussion between them to reach a compromise.,4,3,3,2
"With the deadline just hours away, you realize that the current pace won’t allow you to finish on time.What’s your plan of action?",psychometric,c_score,"Rally the team for a final push, motivating them to work overtime.",Cut corners on non-essential parts of the project to meet the deadline.,Inform the stakeholders about the delay and ask for an extension.,Work through the night yourself to ensure the project is completed.,"Rally the team for a final push, motivating them to work overtime.",4,3,2,3
"After completing the mission, you’re offered an opportunity to lead a high-profile project that requires skills you’re not fully confident in.How do you respond to the offer?
",psychometric,c_score,Accept the offer and commit to learning the necessary skills.,"Decline the offer, preferring to stick to what you know.",Suggest that someone else with more experience take the lead.,Accept the offer but request additional training.,Accept the offer and commit to learning the necessary skills.,4,2,3,4
"Your team members are showing signs of burnout due to the intense work pace over the past few weeks.What do you do to address this?
",psychometric,c_score,Arrange a team-building activity to help them relax and recharge.,Give the team a short break before the next project starts.,Acknowledge their hard work but push through to complete the mission.,Delegate tasks to other teams to ease their workload.,Give the team a short break before the next project starts.,4,4,2,3
"You receive harsh feedback on your leadership style from a senior colleague, suggesting you’re too controlling.How do you handle this feedback?
",psychometric,c_score,Reflect on the feedback and seek input from your team on how to improve.,"Defend your leadership style, believing you know what’s best.","Implement the suggestions immediately, even if you don’t fully agree.","Ignore the feedback, confident in your methods.",Reflect on the feedback and seek input from your team on how to improve.,4,2,3,1
"A new team member joins mid-mission, unfamiliar with the project’s context and your leadership style. How do you integrate them into the team?",psychometric,c_score,Assign them a mentor from the team to help them get up to speed.,Give them a crash course on the project and expect them to catch up.,"Gradually introduce them to tasks, allowing time to adjust.",Give them a simple task and observe how they perform before integrating further.,Assign them a mentor from the team to help them get up to speed.,4,3,3,2
"You discover that a shortcut taken by another team member could compromise the project’s quality, but it’s too late to start over.How do you address this?",psychometric,c_score,Report the issue to higher-ups and suggest a solution.,Fix the issue yourself without involving others.,"Leave the issue as is, hoping it won’t be noticed.",Discuss the implications with the team and decide collectively.,Report the issue to higher-ups and suggest a solution.,4,3,1,4
"Narrative: Just before the project is delivered, a stakeholder requests an additional feature that will require significant changes.How do you manage this request?",psychometric,c_score,Explain the impact of the request on the deadline and offer alternatives.,Agree to the request and work overtime to implement it.,"Refuse the request, sticking to the original scope.","Negotiate a compromise, adding a simpler version of the feature.","Negotiate a compromise, adding a simpler version of the feature.",4,3,3,4
You’re attending a networking event where you know very few people. What do you do to make the most out of the opportunity?,psychometric,e_score,You confidently introduce yourself to everyone and engage in conversations with as many people as possible.,You approach a few people and start conversations with those who seem approachable.,You stay in the background and only interact with those who approach you.,You feel overwhelmed and prefer to stay in your comfort zone without mingling.,You confidently introduce yourself to everyone and engage in conversations with as many people as possible.,4,3,2,1
You’re working on a group project and need to present your ideas. How do you prepare for the presentation?,psychometric,e_score,You rehearse extensively and engage with the team to ensure a polished and energetic presentation.,You prepare your part well and contribute to discussions but don’t go beyond your assigned section.,You do the bare minimum and avoid taking on a leading role during the presentation.,You avoid presenting and prefer to let someone else take the lead.,You rehearse extensively and engage with the team to ensure a polished and energetic presentation.,5,3,1,1
"In a quest to build a new community center, you’re tasked with gathering community input. How do you approach this mission?",psychometric,e_score,You actively organize and attend community meetings to gather diverse input and build relationships.,You attend some meetings and collect feedback from a few community members.,You gather input from only those who directly approach you.,You avoid engaging with the community and prefer to work alone.,You actively organize and attend community meetings to gather diverse input and build relationships.,4,3,2,1
"Imagine you’re part of a team at a summer camp, and your team has to come up with a creative activity for the group. How do you contribute?",psychometric,e_score,"You take charge, come up with innovative ideas, and lead the team to ensure a fun and engaging activity.",You suggest a few ideas and help in organizing the activity with your team.,You provide input only when asked and follow the lead of others.,You prefer to stay out of the planning process and let others handle it.,"You take charge, come up with innovative ideas, and lead the team to ensure a fun and engaging activity.",4,3,2,1
"During a team-building exercise, you’re asked to lead a discussion on overcoming challenges. How do you handle it?",psychometric,e_score,"You take the lead enthusiastically, share your experiences, and encourage others to participate actively.",You participate in the discussion and share some of your ideas.,You contribute occasionally but prefer to listen rather than lead.,You avoid speaking up and prefer to remain silent during the discussion.,"You take the lead enthusiastically, share your experiences, and encourage others to participate actively.",4,3,2,1
You’re invited to a surprise birthday party for a colleague you don’t know well. How do you react?,psychometric,e_score,"You attend the party, interact with everyone, and make an effort to get to know new people.","You attend, stay polite, and engage with a few people but don’t push yourself too much.",You attend briefly but mostly keep to yourself and don’t engage deeply. ,You decline the invitation because you feel uncomfortable in unfamiliar social settings.,"You attend the party, interact with everyone, and make an effort to get to know new people.",4,3,2,1
"In a narrative where you’re on a quest to solve a mystery, how do you approach collaborating with others?",psychometric,e_score,"You actively seek out team members, share ideas, and work closely to uncover clues.",You collaborate with others but prefer to work independently when possible.,You contribute when necessary but don’t take a proactive role in the team effort.,You work alone and avoid collaborating with the team unless absolutely required.,"You actively seek out team members, share ideas, and work closely to uncover clues.",4,3,2,1
You’re asked to participate in a local talent show where you need to perform in front of an audience. What’s your approach?,psychometric,e_score,"You eagerly prepare and perform confidently, enjoying the attention and feedback from the audience.",You prepare and perform but feel nervous and only seek to do your best.,"You participate reluctantly, focusing more on getting through the performance than enjoying it.",You avoid participating and prefer not to perform in front of an audience.,"You eagerly prepare and perform confidently, enjoying the attention and feedback from the audience.",4,3,2,1
"In a scenario where you’re organizing a charity event, how do you engage with potential donors?",psychometric,e_score,"You actively reach out, make personal connections, and enthusiastically promote the cause.",You contact some donors and provide information about the event.,You passively distribute information but don’t actively engage with potential donors.,You avoid interacting with donors and leave it to others to handle.,"You actively reach out, make personal connections, and enthusiastically promote the cause.",4,3,2,1
"While on a journey to explore new places, how do you interact with local residents?",psychometric,e_score,"You actively engage with locals, ask questions, and immerse yourself in their culture.",You interact with locals occasionally and enjoy learning about their culture.,You interact minimally and prefer to explore on your own.,You avoid engaging with locals and stick to familiar surroundings.,"You actively engage with locals, ask questions, and immerse yourself in their culture.",4,3,2,1
You are the project manager for a critical project with a tight deadline. Your team encounters unexpected technical issues that could delay the project. What is your approach?,psychometric,a_score,I immediately reorganize the project timeline and reassign tasks to address the issues quickly.,I consult with the team to find solutions and make adjustments to the schedule as needed.,I prioritize addressing the issues as they arise but may not adjust the project timeline.,I wait to see if the issues resolve on their own before taking any action.,I immediately reorganize the project timeline and reassign tasks to address the issues quickly. ,4,3,2,1
"In a competitive sales environment, you need to develop a strategy to outperform your top competitor. How do you approach this?",psychometric,a_score,I analyze the competitor’s strengths and weaknesses and develop a detailed plan to capitalize on gaps.,I use existing strategies and make minor adjustments based on market trends.,I rely on general industry practices and hope they will be sufficient.,I focus on maintaining current performance and hope for the best.,I analyze the competitor’s strengths and weaknesses and develop a detailed plan to capitalize on gaps.,4,3,2,1
"You are on a quest to rescue a village that is facing a severe water shortage. You have several resources at your disposal, including a water purification system, a new well-drilling machine, and a team of volunteers. How do you use these resources?",psychometric,a_score,I deploy the water purification system immediately and use the well-drilling machine to provide a long-term solution.,I use the water purification system to provide immediate relief and plan to drill the well later.,I start with the well-drilling machine but delay using the purification system.,I use the resources intermittently without a clear plan for effective use.,I deploy the water purification system immediately and use the well-drilling machine to provide a long-term solution.,4,3,2,1
You’re leading a team to develop a new product. The team is divided on whether to include a new feature that could potentially increase sales but also adds complexity to the development process. What is your decision-making approach?,psychometric,a_score,I conduct a thorough cost-benefit analysis and make a decision based on potential returns and risks.,I gather opinions from team members and make a decision based on majority consensus.,I proceed with the feature only if it’s highly recommended by key stakeholders.,I avoid including the feature due to the added complexity and stick to the original plan.,I conduct a thorough cost-benefit analysis and make a decision based on potential returns and risks.,4,3,2,1
